District,District_Code,ELA_Scores,Math_Scores,Total_Per_Pupil_Expenditures,Black,Hispanic,White,Asian,Other,Year,County,Area_Type
Seymour School District,1240011,933,932,18869,7.7,23.3,63.3,3.6,0,2023-24,New Haven,Suburban
Sharon School District,1250011,63,63,47607,0,12.3,83,0,0,2023-24,Litchfield,Suburban
Shelton School District,1260011,2085,2083,19042,9.3,24,56.9,5.4,4.2,2023-24,Fairfield,Suburban
Sherman School District,1270011,146,147,27183,0,9.3,82.5,0,6.9,2023-24,Fairfield,Suburban
Side By Side Charter School District,2700013,132,132,16296,23.2,58.5,11.4,0,0,2023-24,Fairfield,Suburban
Simsbury School District,1280011,1874,1874,20807,6.2,11,70.7,6.4,5.6,2023-24,Hartford,Urban
Somers School District,1290011,606,598,21032,2.4,6.2,87.8,0,2.4,2023-24,Tolland,Suburban
South Windsor School District,1320011,2332,2328,18218,5.9,10.8,46.1,32.3,4.6,2023-24,Hartford,Urban
Southington School District,1310011,2729,2721,18965,2.5,13,74.2,4.9,5.3,2023-24,Hartford,Urban
Sprague School District,1330011,171,171,19606,0,16.8,64.3,0,14.8,2023-24,New London,Suburban
Stafford School District,1340011,562,560,23428,0,9,86,0.9,3.1,2023-24,Tolland,Suburban
Stamford Charter School for Excellence District,2960013,335,335,11220,42.2,28.5,3.1,22.2,3,2023-24,Fairfield,Urban
Stamford School District,1350011,7095,7064,23201,12.8,51.6,26.1,5.9,3.7,2023-24,Fairfield,Suburban
Sterling School District,1360011,190,190,20211,2.1,9.5,79,0,8.5,2023-24,Windham,Suburban
Stonington School District,1370011,756,757,25567,0.7,7.9,83.5,1.6,6,2023-24,New London,Suburban
Stratford School District,1380011,2875,2872,20911,26.1,42.1,26,2.2,3.6,2023-24,Fairfield,Suburban
Suffield School District,1390011,884,885,20794,3.6,8.9,81.2,4.5,1.5,2023-24,Hartford,Suburban
The Bridge Academy District,2690013,94,94,18035,49.5,45.9,0,0,2.1,2023-24,Bridgeport ,Suburban
The Gilbert School District,9020022,160,160,,0,20.6,68,3.6,5.6,2023-24,Litchfield,Suburban
Thomaston School District,1400011,379,378,21747,1.8,10.6,82.2,1.9,3.5,2023-24,Litchfield,Suburban
Thompson School District,1410011,401,400,24079,0.9,7.8,87,1.2,3.1,2023-24,Windham,Suburban
Tolland School District,1420011,898,897,20365,3.1,9.6,80.2,3.2,3.8,2023-24,Tolland,Suburban
Torrington School District,1430011,1845,1842,21305,6.2,41.2,45.8,4.1,2.3,2023-24,Litchfield,Urban
Trumbull School District,1440011,3085,3085,19452,6.9,20.3,59.5,10.1,3.2,2023-24,Fairfield,Suburban
Union School District,1450011,30,30,25429,0,0,92.2,0,0,2023-24,Tolland,Suburban
Vernon School District,1460011,1335,1334,19243,10.1,23.8,50,7.2,8.8,2023-24,Tolland,Suburban
Voluntown School District,1470011,137,137,23596,0,5.5,86,0,4.7,2023-24,New London,Suburban
Wallingford School District,1480011,2204,2191,23520,2,21.6,67.9,4.5,3.8,2023-24,New Haven,Urban
Waterbury School District,1510011,8003,7970,20266,21.1,62.5,10.1,1.6,4.7,2023-24,New Haven,Urban
Waterford School District,1520011,1012,1010,23838,2.6,15,71.3,5,5.6,2023-24,New London,Suburban
Watertown School District,1530011,1164,1159,20737,4.3,11.6,78.3,1.2,4.1,2023-24,Litchfield,Suburban
West Hartford School District,1550011,3983,3973,21708,8.1,21.3,53.6,10.4,6.6,2023-24,Hartford,Urban
West Haven School District,1560011,2594,2592,18600,23.9,40.9,25,5.4,4.9,2023-24,New Haven,Suburban
Westbrook School District,1540011,245,245,33851,0,25.8,69.8,0,2,2023-24,Middlesex,Suburban
Weston School District,1570011,978,977,27531,0,9.7,75,6,7.8,2023-24,Fairfield,Suburban
Westport School District,1580011,2383,2380,26864,2.1,8.2,75.9,6.5,7.1,2023-24,Fairfield,Suburban
Wethersfield School District,1590011,1568,1565,19741,4.7,21.5,64.2,5,4.7,2023-24,Hartford,Suburban
Willington School District,1600011,250,249,27211,1.5,10.2,81.7,1.5,4.1,2023-24,Tolland,Suburban
Wilton School District,1610011,1632,1624,24558,1.1,6.5,74.5,11.2,6.6,2023-24,Fairfield,Suburban
Winchester School District,1620011,299,301,23080,2.1,15,77.1,1.9,3.6,2023-24,Litchfield,Urban
Windham School District,1630011,1489,1485,23352,3.3,72.3,21.2,0.9,2.4,2023-24,Windham,Suburban
Windsor Locks School District,1650011,617,615,23662,11.7,18.6,56.9,5.6,7.1,2023-24,Hartford,Urban
Windsor School District,1640011,1349,1338,22687,40.9,25.2,21,3.5,9.1,2023-24,Hartford,Urban
Wolcott School District,1660011,940,939,18475,4.1,17.3,72.3,2.9,3.1,2023-24,New Haven,Suburban
Woodbridge School District,1670011,475,474,20283,0,8.4,64.6,16,9,2023-24,New Haven,Suburban
Woodstock School District,1690011,508,508,19818,0,5.4,87.2,0,5.8,2023-24,Windham,Suburban
Goodwin University Educational Services (GUES),2310018,418,418,20132,32.4,47,12.2,2.6,5.3,2023-24,Hartford,Suburban
